"projectID";"topic";"title"
"101079481";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101063367";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101057286";"HORIZON-HLTH-2021-IND-07-01";"Green pharmaceuticals"
"101058427";"HORIZON-INFRA-2021-EOSC-01-06";"FAIR and open data sharing in support of cancer research"
"101066991";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101073404";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101064705";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101071111";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04";"Novel routes to green hydrogen production"
"101070066";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-11";"Pushing the limit of robotics cognition (AI, Data and Robotics Partnership) (RIA)"
"101057894";"HORIZON-EIC-2021-TRANSITIONOPEN-01";"EIC Transition Open 2021"
"101066996";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101062414";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101070600";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-10";"AI, Data and Robotics at work (AI, Data and Robotics Partnership) (IA)"
"101047028";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101057367";"HORIZON-HLTH-2021-DISEASE-04-01";"Improved supportive, palliative, survivorship and end-of-life care of cancer patients"
"101063146";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101079417";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101079370";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101073374";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101060211";"HORIZON-CL6-2021-ZEROPOLLUTION-01-10";"Environmental services: improved bioremediation and revitalization strategies for soil, sediments and water"
"101070430";"HORIZON-CL4-2021-HUMAN-01-01";"Verifiable robustness, energy efficiency and transparency for Trustworthy AI: Scientific excellence boosting industrial competitiveness (AI, Data and Robotics Partnership) (RIA)"
"101071203";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-05";"Engineered Living Materials"
"101059523";"HORIZON-CL6-2021-FARM2FORK-01-04";"Tackling outbreaks of plant pests"
